data_size,epochs,total_time,mse
40,41,5.031806707382202,0.0513087626401589
50,65,7.196118354797363,0.03861327407950802
60,86,9.717890977859497,0.03910993028719832
70,40,4.640719175338745,0.06144400804899266
80,52,5.931598424911499,0.02620990417713482
90,26,3.1709225177764893,0.7185902290880704
100,29,3.635118246078491,0.07533363134858491
110,27,3.3003480434417725,0.03854272906195076
120,23,2.867588758468628,0.04340505056761315
130,11,1.5775043964385986,0.08767038988527033
140,15,1.9970674514770508,0.0354661351773969
150,41,5.02646541595459,0.15567448961059724
160,25,2.9231488704681396,0.0389676134427185
170,62,7.307231187820435,0.23023367503646144
180,54,6.4174559116363525,0.078703676105622
190,29,3.8527719974517822,0.022224218760848315
200,27,3.4261791706085205,0.02241321569104923
40,87,9.897554397583008,0.06203835215272639
50,11,1.5384435653686523,0.06459508981693993
60,25,3.1692631244659424,0.03799940857226656
70,47,5.413649797439575,0.07081684696412426
80,63,7.131615400314331,0.02581381765082817
90,46,5.290355205535889,0.030019255507369794
100,53,6.072080135345459,0.0737708428206661
110,13,1.963599443435669,0.05164647150416601
120,21,2.648527145385742,0.037347155007277234
130,38,4.515125274658203,0.0524056299407869
140,22,2.76706862449646,0.024977221370570544
150,27,3.3136932849884033,0.029003676731651325
160,45,5.205728769302368,0.17483322656711692
170,31,3.843109369277954,0.03391705014531651
180,23,2.928546905517578,0.025148793573978537
190,37,4.486783027648926,0.041422679385928224
200,36,4.399998664855957,0.022929101660270776
40,26,3.467275857925415,0.029071332602717166
50,22,2.695492744445801,0.03829599288193465
60,11,1.5607008934020996,0.19320167186428158
70,49,5.744788408279419,0.10336921358758665
80,59,6.703699350357056,0.04451764660782767
90,100,11.094517707824707,0.40817619208541406
100,35,4.119985103607178,0.09111518951295319
110,101,11.579496145248413,0.06294184833235371
120,15,2.0196595191955566,0.04593173546693418
130,24,2.9631402492523193,0.023831643223654955
140,36,4.279671669006348,0.06657882489154728
150,25,3.318993330001831,0.05000693925775232
160,48,5.313934087753296,0.026299567991206824
170,16,2.164043664932251,0.026805870156052004
180,12,1.716238021850586,0.021038706792460424
190,20,2.597139358520508,0.04112101315208409
200,44,5.303726673126221,0.02393919258355328
40,11,1.9083271026611328,0.02429213382567662
50,32,3.722574472427368,1.851484621147727
60,177,19.389840602874756,0.03896929914466301
70,22,2.698301315307617,0.05787260328885014
80,31,3.6743695735931396,0.04608380056402593
90,28,3.3441355228424072,0.033392584220269035
100,107,11.995861053466797,0.05118289236213765
110,82,9.258427143096924,0.06335760601810447
120,24,2.9910709857940674,0.03496536633277013
130,44,5.440438985824585,0.03750613087092624
140,27,3.3211660385131836,0.04560173573080094
150,22,2.7775931358337402,0.03019624619640994
160,22,2.5782926082611084,0.023969128353242084
170,173,19.592427015304565,0.04636172808273874
180,14,2.1298987865448,0.03794156334854745
190,45,5.344908714294434,0.03470045616908877
200,13,1.8175601959228516,0.09449009864654448
40,37,4.606582164764404,0.012098311701826882
50,41,4.669357776641846,0.030041312969541933
60,11,1.555459976196289,0.14326953680562413
70,25,3.157827138900757,0.10207091141241428
80,103,11.398651599884033,0.08147339856123498
90,32,3.7966036796569824,0.0356108334206572
100,13,1.7593975067138672,0.050186128054276115
110,30,3.8207480907440186,0.04626693993697033
120,36,4.276170253753662,0.05843593628909299
130,23,2.8631575107574463,0.04038408342021707
140,117,13.11609411239624,0.09905722538219788
150,31,3.9785563945770264,0.027425141801501865
160,11,1.4975664615631104,0.02544037638828741
170,38,4.633113145828247,0.07318095499181469
180,39,4.694251775741577,0.024415646663400167
190,47,5.61796760559082,0.026410428691020955
200,139,16.53463625907898,0.08016110547699705
40,44,5.35317325592041,0.018004857699804457
50,19,2.3894829750061035,0.05812006536330251
60,161,17.78063654899597,0.044234365321615156
70,60,6.77187442779541,0.019947455980732613
80,18,2.29296875,0.027904521610188054
90,55,6.508105754852295,0.0684186620187446
100,19,2.4254791736602783,0.07083219984987274
110,21,2.6838109493255615,0.04653635080668432
120,32,3.8468668460845947,0.04852882051550184
130,33,3.9578051567077637,0.05303809567874393
140,22,2.9704577922821045,0.03955688376678369
150,45,5.265871524810791,0.10599399473117527
160,70,7.522894382476807,0.06793349552084393
170,35,4.293585300445557,0.10162593531728929
180,15,2.0569348335266113,0.026538845419569468
190,43,5.431280136108398,0.049807821173350704
200,32,3.9662885665893555,0.04289152021446614
40,11,1.8809740543365479,0.44084103150154774
50,19,2.3751602172851562,0.02791426302550275
60,21,2.6056647300720215,0.08101771178502659
70,11,1.684605598449707,0.07169295604106832
80,43,4.965189695358276,0.04423409066661911
90,62,7.005194902420044,0.036398975455931994
100,37,4.340581893920898,0.026447342281770155
110,50,5.7825493812561035,0.08541358170069581
120,26,3.383427381515503,0.0388880400055354
130,34,4.072775840759277,0.039698114395803064
140,23,2.8694007396698,0.03161961260411369
150,74,8.41494083404541,0.08735611851279337
160,27,3.123420238494873,0.026477407393039894
170,23,3.1711485385894775,0.031162706158996197
180,15,2.0682833194732666,0.027159287320681288
190,21,2.7184009552001953,0.024783477001359626
200,23,2.9131996631622314,0.04860527162258234
40,14,2.209320068359375,0.2684584630422397
50,13,1.7468924522399902,0.06068782137673586
60,125,13.904541015625,0.12809262896896806
70,24,2.9572830200195312,0.08684129857981047
80,47,5.397335529327393,0.05134166962648838
90,59,6.8282341957092285,0.07585027901286251
100,42,4.9223473072052,0.046272033210810345
110,28,3.412349224090576,0.04513458289967264
120,30,3.6478776931762695,0.027855544143494684
130,31,3.731384515762329,0.06094579646747958
140,14,1.8957939147949219,0.029544175041821528
150,25,3.2829079627990723,0.04561823914986605
160,21,2.5080654621124268,0.02958029105602214
170,31,3.8166863918304443,0.05632810368730198
180,19,2.481936454772949,0.024334338372846334
190,27,3.371149778366089,0.03104993764070003
200,39,4.984044790267944,0.03091065021278832
40,27,3.563171148300171,0.03147879098554949
50,23,2.796668529510498,0.0818674531360846
60,53,6.044634819030762,0.026406098379645023
70,43,5.084147930145264,0.023216726407542607
80,36,4.212085008621216,0.028610927919753445
90,12,1.6518824100494385,0.02948153220415551
100,17,2.196763515472412,0.031276612904671985
110,14,1.8798861503601074,0.038654489657119054
120,16,2.294126510620117,0.038499538123706205
130,46,5.383776426315308,0.0637851610325577
140,20,2.5526540279388428,0.030087821575701938
150,16,2.1170361042022705,0.028394721243786634
160,27,3.1118156909942627,0.0366670131585259
170,201,23.113526821136475,0.05329529909842441
180,37,4.4842517375946045,0.09338353133670513
190,24,3.061371088027954,0.04654835693986279
200,45,5.404131174087524,0.055003198428179446
40,97,10.8744957447052,0.016682177706024516
50,27,3.2128024101257324,0.04472451993084754
60,42,4.972083330154419,0.28492465524764177
70,42,4.847311019897461,0.030201740509747606
80,52,5.940327882766724,0.05143439565446707
90,12,1.665722370147705,0.03844027685431767
100,43,5.167131185531616,0.0384309934402627
110,26,3.1872828006744385,0.0338068391157187
120,41,4.820714950561523,0.04787384010076343
130,13,1.7956836223602295,0.031551531933416845
140,37,4.385073661804199,0.09278904523034923
150,26,3.4171302318573,0.04716228006936883
160,52,5.746119976043701,0.04324886759171286
170,124,14.23029351234436,0.08376350761200309
180,21,2.7130019664764404,0.03028633311389421
190,30,3.7141427993774414,0.08820745844211168
200,19,2.734290599822998,0.03104724689237868
40,29,3.7655675411224365,0.11464894079949202
50,34,3.922454833984375,0.028080500791072126
60,16,2.0787060260772705,0.038869985177975325
70,25,3.1840898990631104,0.05242221801750903
80,118,13.026598691940308,0.09603641887324096
90,57,6.4616498947143555,0.059298423352964695
100,27,3.4254298210144043,0.047371072842345076
110,92,10.361787796020508,0.05512771279124316
120,15,1.9814958572387695,0.03511615556822971
130,36,4.266515254974365,0.03219764326201686
140,23,2.87101411819458,0.034074518714774404
150,19,2.651317596435547,0.03768550163036276
160,12,1.590381145477295,0.02724556328415475
170,25,3.142948865890503,0.02323887620958113
180,20,2.580413579940796,0.021616135208566836
190,11,1.5894789695739746,0.038186958563155814
200,34,4.171518087387085,0.031927480269340766
40,43,5.267684698104858,0.1730089493577362
50,26,3.103907346725464,0.061166491722166504
60,37,4.315190315246582,0.04992222429817677
70,21,2.7200851440429688,0.09242785659844797
80,23,2.8424911499023438,0.047204261346887794
90,76,8.490851640701294,0.04152706385534116
100,15,1.9704017639160156,0.04433322541754411
