run,epoch,train_loss,val_loss
1,1,0.44513338804244995,0.20712314546108246
1,2,0.23795519769191742,0.18981194496154785
1,3,0.25443148612976074,0.2150745391845703
1,4,0.2531166672706604,0.17894572019577026
1,5,0.2080400139093399,0.1587371826171875
1,6,0.2126079797744751,0.1518118977546692
1,7,0.21192997694015503,0.1470598578453064
1,8,0.18658460676670074,0.14364179968833923
1,9,0.2048233598470688,0.14096753299236298
1,10,0.19117973744869232,0.1310560405254364
1,11,0.15102064609527588,0.12280674278736115
1,12,0.1411122828722,0.11923007667064667
1,13,0.16514961421489716,0.11985620856285095
1,14,0.16152681410312653,0.11713593453168869
1,15,0.12827946245670319,0.11485329270362854
1,16,0.11905260384082794,0.11945569515228271
1,17,0.11714036017656326,0.12910892069339752
1,18,0.10215211659669876,0.12891840934753418
1,19,0.09416373074054718,0.12117335945367813
1,20,0.08862917125225067,0.1153608039021492
1,21,0.07785177230834961,0.10694587230682373
1,22,0.07821798324584961,0.1116168349981308
1,23,0.07321488857269287,0.10798563808202744
1,24,0.07393410056829453,0.09972740709781647
1,25,0.06126966327428818,0.10453992336988449
1,26,0.05813421681523323,0.10696196556091309
1,27,0.05577700212597847,0.09838179498910904
1,28,0.048661213368177414,0.09886030107736588
1,29,0.05268961563706398,0.10789721459150314
1,30,0.054014988243579865,0.09881284832954407
1,31,0.0439339280128479,0.10103307664394379
1,32,0.041200902312994,0.10723458230495453
1,33,0.04207739233970642,0.1030479148030281
1,34,0.04172372817993164,0.10426227748394012
1,35,0.04091811925172806,0.10710108280181885
1,36,0.03944792225956917,0.1024661585688591
1,37,0.038845453411340714,0.10767722129821777
1,38,0.035615742206573486,0.1107204332947731
1,39,0.035922572016716,0.11324255168437958
1,40,0.034984540194272995,0.10810181498527527
1,41,0.03682513162493706,0.10447978228330612
1,42,0.03459061682224274,0.10260956734418869
1,43,0.03447042778134346,0.10452792048454285
1,44,0.0315178707242012,0.11043612658977509
1,45,0.031773053109645844,0.09591970592737198
1,46,0.03003542125225067,0.09971275180578232
1,47,0.029965030029416084,0.10051079094409943
1,48,0.02897607907652855,0.09180229157209396
1,49,0.02715284191071987,0.09244725108146667
1,50,0.027661625295877457,0.08561164885759354
1,51,0.028199870139360428,0.09189529716968536
