data_size,epochs,total_time,mse
40,16,2.4505090713500977,0.43650441360095316
50,14,1.8635640144348145,0.39843528530194816
60,37,4.480923175811768,0.18696039644633633
70,21,2.773473024368286,0.037661611878458505
80,19,2.4723987579345703,0.07611036894700732
90,31,3.7442219257354736,0.08851870627210096
100,16,2.1168081760406494,0.08730833869099175
110,11,1.7732927799224854,0.038425149487785575
120,8,1.2674987316131592,0.05659182471219657
130,12,1.7149569988250732,0.042486270462735384
140,24,3.0360655784606934,0.03401161592762326
150,19,2.4760897159576416,0.05169299999132547
160,26,3.0581727027893066,0.050727639733656384
170,13,2.0678892135620117,0.051754128988818114
180,16,2.1849210262298584,0.059398723645975635
190,15,2.0975875854492188,0.042294959218623834
200,21,2.7933177947998047,0.046860458802238616
40,14,2.240765333175659,1.5140672359069058
50,14,1.9079029560089111,0.825008285075033
60,42,4.963512420654297,0.257454655629665
70,21,2.7673709392547607,0.013153670706014028
80,29,3.533703565597534,0.036247792984451896
90,24,3.0251057147979736,0.055536137940870534
100,12,1.6966793537139893,0.03180637525463324
110,16,2.3135898113250732,0.0412545585784437
120,13,1.8296101093292236,0.04631917528065821
130,16,2.157034158706665,0.05212366549857638
140,18,2.3706679344177246,0.06157746828240638
150,23,2.94155216217041,0.08176483412413678
160,21,2.5552804470062256,0.057855329161317415
170,21,3.0197174549102783,0.06236190774340296
180,12,1.765148401260376,0.04782361659777481
190,23,3.0329487323760986,0.04551720478638669
200,19,2.5509252548217773,0.07021451564045542
40,14,2.2486579418182373,0.9075461436101218
50,15,1.9781956672668457,0.579849284623698
60,11,1.5743834972381592,0.2590533473365643
70,23,3.0166120529174805,0.012266474783133469
80,32,3.8841323852539062,0.11315500874565987
90,20,2.549083709716797,0.043399958178846426
100,14,1.9177820682525635,0.03630078275129745
110,19,2.4888906478881836,0.05113511596064093
120,29,3.8120310306549072,0.0530130933336764
130,21,2.730851411819458,0.04267250619894528
140,23,2.9120934009552,0.058041410894506616
150,21,2.6916396617889404,0.04347272483842776
160,16,2.0349578857421875,0.07512481481982691
170,11,1.6240379810333252,0.050094765914985497
180,21,2.9884092807769775,0.04646014258245721
190,16,2.1983730792999268,0.051443762585220945
200,31,3.9017646312713623,0.05307687275138848
40,8,1.613281488418579,0.9944951784621521
50,15,1.9931411743164062,1.3672170088322493
60,23,2.905883550643921,0.1897426027658232
70,13,1.920475959777832,0.6631432772203139
80,34,4.0684287548065186,0.051471335481317944
90,11,1.5740275382995605,0.049689033570636344
100,21,2.6666951179504395,0.03711966365528904
110,16,2.1762967109680176,0.04461740811827453
120,16,2.334388017654419,0.02571590889794581
130,11,1.5809476375579834,0.03976194227394604
140,13,1.8255035877227783,0.07570977016706179
150,23,2.926961898803711,0.0770420909891092
160,28,3.292285442352295,0.05408283571608602
170,17,2.3085074424743652,0.04819472292711885
180,17,2.5318610668182373,0.04500300171715484
190,19,2.5309739112854004,0.05491837794564533
200,20,2.641749382019043,0.03659986133811144
40,19,2.804615020751953,0.7802977178734368
50,16,2.1151413917541504,0.6641180636872466
60,67,7.839772939682007,0.09543560511063552
