data_size,epochs,total_time,mse
40,42,5.186205863952637,0.003094696963180775
50,35,4.04194712638855,0.008134517377540819
60,28,3.485473394393921,0.588020368843084
70,34,4.0051374435424805,0.226570407685137
80,24,2.950160026550293,0.07774612080620305
90,21,2.6299757957458496,0.09215735687258321
100,18,2.2923388481140137,0.06122978569359867
110,42,5.17669939994812,0.055721565844555385
120,14,1.9076318740844727,0.07773306923290911
130,32,3.85518217086792,0.06533002437604027
140,22,2.769195318222046,0.07304054726080489
150,14,1.9095714092254639,0.04819662398369803
160,14,2.044729471206665,0.05970350334672488
170,29,3.644782304763794,0.06113424431756223
180,20,2.629695415496826,0.06184734105237363
190,32,3.9468469619750977,0.08112565210473081
200,19,2.498137950897217,0.04113466094116478
40,27,3.556635856628418,0.5484626951637789
50,12,1.6311383247375488,0.6032703261775046
60,13,1.7536158561706543,2.4630939235106974
70,38,4.559279203414917,0.3968171723448454
80,44,5.09586238861084,0.0561421796871994
90,31,3.6721394062042236,0.039868145892032025
100,29,3.468585729598999,0.03915832886505623
110,18,2.490446090698242,0.06974189087290875
120,24,2.9612724781036377,0.036506679543352745
130,24,2.978531837463379,0.04662635608061937
140,17,2.229174852371216,0.029080212992130264
150,26,3.1967525482177734,0.03879173732002456
160,30,3.6679840087890625,0.05467837456396475
170,13,1.8535149097442627,0.0390181877586766
180,13,1.835301160812378,0.0645854294436561
190,24,3.0223023891448975,0.09297582029702574
200,15,2.042335271835327,0.04357237189063094
40,13,2.1187551021575928,0.5711963982488556
50,21,2.5791103839874268,0.30477047171253696
60,15,1.9786357879638672,0.07754684549460024
70,23,2.933473587036133,0.039397370346853346
80,46,5.285129070281982,0.0657972499695372
90,45,5.1883649826049805,0.028925660511856972
100,25,3.04349946975708,0.037767664106956055
110,28,3.5946567058563232,0.04549191452038345
120,22,2.7711851596832275,0.039071863174070805
130,17,2.2136588096618652,0.08255597413663819
140,24,3.002021074295044,0.066486734758687
150,26,3.1981818675994873,0.08267132253266266
160,20,2.622075080871582,0.048374402146362974
170,19,2.508455991744995,0.08324099214398982
180,21,2.721494197845459,0.04115430345385837
190,16,2.159815788269043,0.059046891877057674
200,16,2.1513659954071045,0.10561307038462678
40,35,4.431124210357666,0.8587650756793398
50,14,1.8460729122161865,1.0078120132218062
60,40,4.812032699584961,0.14269719727676158
70,37,4.343708753585815,0.05360112770935242
80,23,2.850247859954834,0.13634112573515705
90,30,3.5835952758789062,0.06348044966664584
100,24,2.950378894805908,0.09655198614481206
110,20,2.72463321685791,0.06947518647769363
120,26,3.188711404800415,0.07594619470684517
130,18,2.346379518508911,0.04032414803896126
140,14,1.9008519649505615,0.05952876841376396
150,15,2.0182313919067383,0.16987304265762007
160,22,2.610583543777466,0.04964778573947394
170,38,4.884535551071167,0.044127539901011335
180,22,2.8585822582244873,0.09443447632194782
190,18,2.386039972305298,0.05757490483711728
200,12,1.7257897853851318,0.0848011836333665
40,11,1.952286720275879,0.2889067130416668
50,28,3.329824686050415,0.16652049710814917
60,44,5.068424701690674,1.0875254422108198
70,20,2.6505534648895264,0.37005110406122876
80,38,4.449096202850342,0.1739291098325766
90,37,4.343089818954468,0.04574618821354986
100,12,1.6610980033874512,0.08251091225444238
110,25,3.2826619148254395,0.03008781810285951
120,12,1.682720422744751,0.06763618257534866
130,19,2.438342571258545,0.0552737881734689
140,15,2.010429859161377,0.04243458396970344
150,20,2.5514466762542725,0.07113843996508624
160,29,3.3327138423919678,0.07933487269315491
170,48,6.016629219055176,0.05273831277501047
180,37,4.497706890106201,0.07235091392580786
190,30,3.7105746269226074,0.05147624910204924
200,19,2.4947683811187744,0.036510786294834875
40,15,2.325800895690918,1.517125877880442
50,11,1.532414197921753,0.8955184642705583
60,33,3.916264533996582,0.7907606415140164
70,12,1.7640893459320068,0.2521274100022076
80,25,3.0634591579437256,0.0790807872650928
90,25,3.0409491062164307,0.04479058179029352
100,11,1.5596559047698975,0.05007477956365284
110,67,7.803918361663818,0.03416647193600963
120,18,2.3386216163635254,0.04063651230960782
130,20,2.5427231788635254,0.05679313069224668
140,30,3.618070125579834,0.07620690962964724
150,54,6.27907395362854,0.07361183748957668
160,22,2.818502187728882,0.027435941471131986
170,15,2.068830728530884,0.056342040487761424
180,22,2.8385515213012695,0.05184488795723085
190,17,2.2693774700164795,0.0406447962654059
200,12,1.7149021625518799,0.04251835206671782
40,42,5.17063307762146,0.7115709393325051
50,18,2.2609102725982666,0.5214310008140421
60,38,4.584386110305786,0.424589115101991
70,38,4.451233863830566,0.07277758549308108
80,38,4.43974757194519,0.08453409081702809
90,45,5.140627384185791,0.08873313449737072
100,33,4.115415096282959,0.03210773714933709
110,14,1.888040542602539,0.2379632033776084
120,23,2.869405508041382,0.07033813915081708
130,37,4.409496068954468,0.05498226184629377
140,32,3.8560774326324463,0.06051747689907534
150,28,3.6202359199523926,0.08705822482658054
160,16,1.9944415092468262,0.06287943724406597
170,30,3.718322277069092,0.07017271103265497
180,18,2.384275436401367,0.043951744999544996
190,41,4.92327356338501,0.03481486714699703
200,36,4.6354241371154785,0.061689762428517994
40,23,3.1520824432373047,0.7614315317579545
50,15,1.953216791152954,0.9682617765044135
60,32,3.9238522052764893,0.536117301384229
70,20,2.50126314163208,0.17458207732074946
80,30,3.5906667709350586,0.39414727559305673
90,21,2.615117311477661,0.03192758254769883
100,17,2.194606304168701,0.05286335705405234
110,22,2.959916114807129,0.13828182597934743
120,17,2.2475757598876953,0.10060770128228018
130,47,5.460460901260376,0.10629117481440062
140,30,3.6373069286346436,0.07530790798256594
150,46,5.400018215179443,0.035917380768571136
160,25,3.1596810817718506,0.04730598935834642
170,27,3.421987533569336,0.052484927256427893
180,14,1.9278085231781006,0.06306665951440643
190,18,2.381652593612671,0.04974257117076115
200,21,2.730489492416382,0.0676092922657662
40,54,6.420971632003784,0.7036141133500042
50,17,2.1656808853149414,0.44132379675527245
60,38,4.569156885147095,0.2195015105847219
70,37,4.3213791847229,0.11022869986644998
80,23,2.8301966190338135,0.2841080176207898
90,32,3.8085033893585205,0.10038057355747024
100,32,3.9739890098571777,0.059191461391057985
110,19,2.464064836502075,0.0446562243747575
120,28,3.4291441440582275,0.1026520077098831
130,17,2.2323548793792725,0.07645964361256796
140,14,1.8987417221069336,0.08810361952561697
150,26,3.2086987495422363,0.07624956004960622
160,20,2.6081132888793945,0.0743491771852065
170,24,3.071974992752075,0.05295648119825763
180,35,4.293135643005371,0.07482165538074155
190,23,2.9487342834472656,0.04432845182536721
200,13,1.835817575454712,0.05056615412886456
40,35,4.387610673904419,0.2843776645223426
50,39,4.4871509075164795,0.4956128381588467
60,11,1.6708769798278809,0.06481881086755321
70,30,3.5844767093658447,0.12485011040540005
80,26,3.1666765213012695,0.05212391655309094
90,30,3.5953776836395264,0.06011174592574278
100,28,3.3843131065368652,0.09770996525137174
110,18,2.5168960094451904,0.08181669121425024
120,22,2.766239881515503,0.0317781322376286
130,17,2.220372438430786,0.04796660582614513
140,47,5.442971229553223,0.06880668641131871
150,15,2.00534987449646,0.028301269429497896
160,14,1.7913501262664795,0.060697457998725377
170,28,3.729489803314209,0.04301759939508655
180,24,3.060920000076294,0.07632542045019042
190,13,1.8326141834259033,0.06102991613686331
200,28,3.4888811111450195,0.04418369144797749
40,16,2.403470039367676,0.20126217981690606
50,11,1.5285933017730713,1.4234089338407325
60,14,1.8701002597808838,0.2179289389635943
70,13,1.8595554828643799,0.17868092286925616
80,66,7.44397759437561,0.08102372036782071
90,13,1.774355173110962,0.07347407999056633
100,26,3.1473145484924316,0.1454253607709122
110,12,1.6825945377349854,0.06234237052184264
120,28,3.599461793899536,0.029913649322313874
130,29,3.5190393924713135,0.03425154729674346
140,35,4.159814357757568,0.044239412874469135
150,23,2.873030662536621,0.04831554655546793
160,15,1.8834590911865234,0.0790678697039423
170,55,6.819734811782837,0.046088931927022896
180,19,2.512140989303589,0.07549722376346764
190,16,2.1519124507904053,0.07256246817438702
200,24,3.056293487548828,0.03789558546037751
40,14,2.2130215167999268,0.41365689559611796
50,32,3.7307095527648926,0.38980521391798206
60,21,2.629729747772217,0.5194602516656587
70,24,3.075838804244995,0.05676490553880337
80,29,3.490842580795288,0.39904308770435043
90,11,1.5536761283874512,0.12862864762932907
100,13,1.77105712890625,0.05136477873012892
110,31,3.7205142974853516,0.07964424306179618
120,22,2.8038721084594727,0.1322612725997831
130,29,3.5084786415100098,0.043356890764021924
140,22,2.7637417316436768,0.029333527132822886
150,46,5.353468656539917,0.0559860668158009
160,28,3.455061435699463,0.05471624461262463
170,17,2.283051013946533,0.06881229458368278
180,15,2.0358493328094482,0.06839771822113581
190,19,2.491482734680176,0.050021287273319
200,23,2.9563536643981934,0.031230882494915003
40,15,2.3390324115753174,0.53482894025552
50,28,3.3515193462371826,0.20010975715901735
60,38,4.457180500030518,0.6140106756560076
70,18,2.422607421875,0.053903458936554356
80,45,5.2234508991241455,0.2902886315041605
90,26,3.181342363357544,0.055993271943639136
100,18,2.300459146499634,0.08316720234919364
110,25,3.2788589000701904,0.06666786228395126
120,25,3.1255223751068115,0.04779491104800946
130,21,2.686762809753418,0.07003281692526513
140,23,2.8857128620147705,0.049265971680651874
150,17,2.2482335567474365,0.02958318063448345
160,26,3.02911114692688,0.053002773441508215
