data_size,epochs,total_time,mse
200,12,1.7154054641723633,0.05682351872720215
40,18,2.6188385486602783,0.40143844040957954
50,59,6.5834784507751465,0.6253650517116534
60,40,4.793730974197388,0.3531092474971345
70,11,1.5640058517456055,0.09687924181238858
80,15,1.990299940109253,0.01994902443440668
90,19,2.3907546997070312,0.042736435377979186
100,33,3.8842504024505615,0.0379992868471586
110,22,2.9323837757110596,0.05363618027580388
120,22,2.7711572647094727,0.0802218263676254
130,22,2.763247013092041,0.0685350791989032
140,23,2.8951873779296875,0.10029222534219859
150,30,3.6404836177825928,0.0400973310724154
160,11,1.6915853023529053,0.045513516892211704
170,20,2.608428478240967,0.06866309110493629
180,20,2.6035141944885254,0.06788690194165962
190,12,1.7211596965789795,0.04962020019429411
200,12,1.7170312404632568,0.055822172216275376
40,31,3.9877212047576904,0.6368863072428126
50,36,4.172934532165527,0.40925315990272243
60,31,3.716296672821045,0.13407746025107167
70,33,4.028826713562012,0.04145160284326717
80,27,3.2638139724731445,0.07693238508776419
90,21,2.6360902786254883,0.06673646845214887
100,24,2.952146530151367,0.08256354922062012
110,14,2.075191020965576,0.04004540738779292
120,12,1.6946656703948975,0.06144301503350071
130,16,2.1235833168029785,0.027987845036930005
140,27,3.3068976402282715,0.047216893905468724
150,11,1.574437141418457,0.035510350109459216
160,26,3.0045166015625,0.04910711147152441
170,30,3.941183567047119,0.06929745521658087
180,12,1.7291755676269531,0.05279897320197911
190,12,1.713636875152588,0.04590647312013586
200,13,1.832136869430542,0.06169167000519739
40,25,3.3728268146514893,0.8962925747338275
50,28,3.313659429550171,1.061644504374377
60,15,1.9902608394622803,0.04800025570084097
70,27,3.384556293487549,0.042061338763045984
80,45,5.193551063537598,0.03305848993724898
90,15,1.975386142730713,0.045748932783185856
100,17,2.17899751663208,0.039754878698824
110,16,2.298900604248047,0.07463118459685408
120,27,3.333346366882324,0.05410238017644961
130,34,4.078722238540649,0.03597666739395523
140,11,1.571254014968872,0.03538745245407664
150,16,2.1206157207489014,0.04860387655259123
160,11,1.4856431484222412,0.0820075102171236
170,35,4.528749704360962,0.043242387167988956
180,16,2.1738345623016357,0.0415768313066769
190,12,1.7077279090881348,0.07763639311881212
200,16,2.1567111015319824,0.05912991045875834
40,32,4.113462448120117,0.533226203688092
50,31,3.6474671363830566,0.1709488114875255
60,17,2.195431709289551,0.06017181873062574
70,12,1.7757503986358643,0.05761263735692567
80,19,2.4018421173095703,0.06798901997612357
90,23,2.8281970024108887,0.06423710987086086
100,26,3.231459617614746,0.04400224185799208
110,17,2.256394147872925,0.04773010021539938
120,17,2.460965871810913,0.04252152772548907
130,28,3.5010900497436523,0.05125581263508062
140,14,1.969552755355835,0.030589342920705385
150,16,2.1897130012512207,0.05934584361297646
160,20,2.4222822189331055,0.05753233485088854
170,14,1.9508767127990723,0.07363648520738383
180,15,2.3316566944122314,0.06543550741562841
190,15,2.1215085983276367,0.06015312985607106
200,20,2.675506353378296,0.06447738423972035
