data_size,epochs,total_time,mse
40,37,4.633825063705444,0.09854213487530353
50,23,2.789358615875244,0.46403601510529136
60,24,3.087771415710449,0.4670063326742766
70,11,1.548182487487793,0.3933468726388175
80,11,1.5576326847076416,0.4767983602851118
90,27,3.268495559692383,0.15656614761610918
100,29,3.4692392349243164,0.15687735305162137
110,35,4.391126871109009,0.0906865900169592
120,18,2.3471217155456543,0.06226474727550848
130,16,2.1228275299072266,0.024052591164357193
140,26,3.1993467807769775,0.06307999191130015
150,23,2.889376163482666,0.0337020885612719
160,11,1.4842312335968018,0.0624265494256591
170,35,4.467861652374268,0.04163962098540227
180,17,2.2706146240234375,0.05546776848108454
190,14,1.9208753108978271,0.05870027720677877
200,27,3.3637259006500244,0.044035014677277
40,29,3.773491382598877,0.5322320008143255
50,32,3.729825258255005,0.9348455028944122
60,32,3.9294233322143555,0.25120684538854365
70,28,3.3549067974090576,0.5388644247935945
80,52,5.929381608963013,0.017163160884191835
90,40,4.654465436935425,0.04085064899397662
100,19,2.572227716445923,0.03664844673444049
110,28,3.410917282104492,0.030903348258645356
120,35,4.175654172897339,0.023827192981704926
130,17,2.2104291915893555,0.07234999747008662
140,15,2.0032145977020264,0.03600557470892735
150,26,3.482966423034668,0.0847258070143737
160,38,4.2568199634552,0.04303569573629682
170,30,3.720627784729004,0.04320550861058008
180,29,3.610999584197998,0.028730191428259173
190,29,3.59043288230896,0.0595001956584261
200,23,2.948723554611206,0.05696843949392498
40,11,1.8957030773162842,0.009229515327703162
50,18,2.251894950866699,0.8647541176951183
60,48,5.521910667419434,0.08860293677202595
70,14,1.991478681564331,0.274727813864067
80,22,2.7175650596618652,0.11172473228724786
90,31,3.686403751373291,0.03755431181458044
100,31,3.689826726913452,0.03959957554050203
110,30,3.780482769012451,0.0213276046854068
120,14,1.9134795665740967,0.0825762397665467
130,35,4.165651798248291,0.025379033976944923
140,52,5.998404264450073,0.031574306987246205
150,32,3.836054563522339,0.065236310693109
160,21,2.4808058738708496,0.10267688290481414
170,17,2.48132586479187,0.055645818965223484
180,20,2.6113481521606445,0.06198443817187734
190,16,2.150559663772583,0.052256525605259244
200,14,1.9342386722564697,0.052048742523390604
40,25,3.4121813774108887,0.5598149176150496
50,28,3.3334856033325195,0.6875820369488757
60,26,3.2988386154174805,0.5460828178296718
70,37,4.3599841594696045,0.3647371766677373
80,30,3.615908145904541,0.13569141586280098
90,27,3.2846195697784424,0.14536098494561095
100,39,4.589654207229614,0.03269444669107733
110,26,3.402707815170288,0.08026680566708268
120,20,2.5708417892456055,0.050133426960009865
130,51,5.923934459686279,0.1104576761951484
140,17,2.241882562637329,0.057969971382326804
150,17,2.2383201122283936,0.029828236316971804
160,31,3.8105340003967285,0.041228900430555784
170,19,2.537986993789673,0.05641288624708673
180,28,3.5149471759796143,0.03959860615999136
190,14,1.9504611492156982,0.037433658082490606
200,22,2.8444910049438477,0.04322311919122127
40,11,1.8800666332244873,0.4596801756173131
50,27,3.2122514247894287,0.7840273108855011
60,34,3.9905056953430176,0.3633128988336232
70,19,2.5111796855926514,0.23744489963116844
80,26,3.1475467681884766,0.009271308141185118
90,23,2.827138900756836,0.036355573775355005
100,39,4.5370073318481445,0.3657696438556263
110,13,1.776628017425537,0.028744321321321806
120,21,2.841357469558716,0.03793356816370899
130,22,2.7649083137512207,0.09665075751924415
140,23,2.8826799392700195,0.06626238092695642
150,30,3.6241323947906494,0.03724512175079454
160,21,2.4963793754577637,0.05726275693727876
170,28,3.72394061088562,0.07568148371528818
180,20,2.617950916290283,0.045449315375988064
190,20,2.608058452606201,0.036082016103511784
200,13,1.8207974433898926,0.0472992904497885
40,33,4.204911947250366,0.7224141639319378
50,13,1.7478342056274414,0.19980795892945727
60,30,3.7163968086242676,0.34029673763130724
70,38,4.412446022033691,0.19973157193167598
80,26,3.1507389545440674,0.020545620066738227
90,21,2.6250734329223633,0.39902700125157475
100,30,3.6023526191711426,0.03152287195194353
110,17,2.416762113571167,0.038953291363034055
120,19,2.4518022537231445,0.031346577137920995
130,29,3.5105433464050293,0.07329572575502155
140,22,2.759831666946411,0.029124654623907096
150,18,2.3140270709991455,0.054875865255709304
160,18,2.1873176097869873,0.08695547647953607
170,20,2.834773302078247,0.06701744367954675
180,17,2.295502185821533,0.0427346450202251
190,25,3.1407864093780518,0.058345021621609615
200,28,3.4886226654052734,0.05168127807951796
40,11,1.8958876132965088,0.9953290700490318
50,20,2.4486007690429688,0.2551972192094479
60,38,4.440727949142456,0.44636079185679384
